121	1.14.21.-	With NADH or NADPH as one donor, and the other dehydrogenated
122	1.14.99.-	Miscellaneous
123	1.15.-.-	Acting on superoxide as acceptor
124	1.15.1.-	Acting on superoxide as acceptor
125	1.16.-.-	Oxidizing metal ions
126	1.16.1.-	With NAD(+) or NADP(+) as acceptor
127	1.16.3.-	With oxygen as acceptor
128	1.16.5.-	With a quinone or similar compound as acceptor
129	1.16.8.-	With a flavin as acceptor
130	1.16.9.-	With a copper protein as acceptor
131	1.16.98.-	With other known acceptors
132	1.16.99.-	With other acceptors
133	1.17.-.-	Acting on CH or CH2 groups
134	1.17.1.-	With NAD(+) or NADP(+) as acceptor
135	1.17.2.-	With a cytochrome as acceptor
136	1.17.3.-	With oxygen as acceptor
137	1.17.4.-	With a disulfide as acceptor
138	1.17.5.-	With a quinone or similar compound as acceptor
139	1.17.7.-	With an iron-sulfur protein as acceptor
140	1.17.8.-	With a flavin as acceptor
141	1.17.9.-	With a copper protein as acceptor
142	1.17.98.-	With other, known, acceptors
143	1.17.99.-	With other acceptors
144	1.18.-.-	Acting on iron-sulfur proteins as donors
145	1.18.1.-	With NAD(+) or NADP(+) as acceptor
146	1.18.2.-	With dinitrogen as acceptor
147	1.18.3.-	With H(+) as acceptor
148	1.18.6.-	With dinitrogen as acceptor
149	1.18.96.-	With other, known, acceptors
150	1.18.99.-	With H(+) as acceptor
151	1.19.-.-	Acting on reduced flavodoxin as donor
152	1.19.1.-	With NAD(+) or NADP(+) as acceptor
153	1.19.6.-	With dinitrogen as acceptor
154	1.20.-.-	Acting on phosphorus or arsenic in donors
155	1.20.1.-	With NAD(+) or NADP(+) as acceptor
156	1.20.2.-	With a cytochrome as acceptor
157	1.20.4.-	With disulfide as acceptor
158	1.20.9.-	With a copper protein as acceptor
159	1.20.98.-	With other, known acceptors
160	1.20.99.-	With other acceptors
161	1.21.-.-	Catalyzing the reaction X-H + Y-H = 'X-Y'
162	1.21.1.-	With NAD(+) or NADP(+) as acceptor
163	1.21.3.-	With oxygen as acceptor
164	1.21.4.-	With a disulfide as acceptor
165	1.21.98.-	With other, known acceptors
166	1.21.99.-	With other acceptors
167	1.22.-.-	Acting on halogen in donors
168	1.22.1.-	With NAD(+) or NADP(+) as acceptor
169	1.23.-.-	Reducing C-O-C group as acceptor
170	1.23.1.-	With NADH or NADPH as donor
171	1.23.5.-	With a quinone or similar compound as acceptor
172	1.97.-.-	Other oxidoreductases
173	1.97.1.-	Other oxidoreductases
174	1.98.-.-	Enzymes using H2 as reductant
175	1.98.1.-	Other oxidoreductases
176	1.99.-.-	Other enzymes using O2 as oxidant
177	1.99.1.-	Hydroxylases
178	1.99.2.-	Oxygenases
179	2.-.-.-	Transferases
180	2.1.-.-	Transferring one-carbon groups
181	2.1.1.-	Methyltransferases
182	2.1.2.-	Hydroxymethyl-, formyl- and related transferases
183	2.1.3.-	Carboxy- and carbamoyltransferases
184	2.1.4.-	Amidinotransferases
185	2.1.5.-	Methylenetransferases
186	2.2.-.-	Transferring aldehyde or ketonic groups
187	2.2.1.-	Transketolases and transaldolases
188	2.3.-.-	Acyltransferases
189	2.3.1.-	Transferring groups other than amino-acyl groups
190	2.3.2.-	Aminoacyltransferases
191	2.3.3.-	Acyl groups converted into alkyl groups on transfer
192	2.4.-.-	Glycosyltransferases
193	2.4.1.-	Hexosyltransferases
194	2.4.2.-	Pentosyltransferases
195	2.4.3.-	Sialyltransferases
196	2.4.99.-	Transferring other glycosyl groups
197	2.5.-.-	Transferring alkyl or aryl groups, other than methyl groups
198	2.5.1.-	Transferring alkyl or aryl groups, other than methyl groups
199	2.6.-.-	Transferring nitrogenous groups
200	2.6.1.-	Transaminases
201	2.6.2.-	Amidinotransferases
202	2.6.3.-	Oximinotransferases
203	2.6.99.-	Transferring other nitrogenous groups
204	2.7.-.-	Transferring phosphorus-containing groups
205	2.7.1.-	Phosphotransferases with an alcohol group as acceptor
206	2.7.2.-	Phosphotransferases with a carboxy group as acceptor
207	2.7.3.-	Phosphotransferases with a nitrogenous group as acceptor
208	2.7.4.-	Phosphotransferases with a phosphate group as acceptor
209	2.7.5.-	Phosphotransferases with regeneration of donors, apparently catalyzing intramolecular transfers
210	2.7.6.-	Diphosphotransferases
211	2.7.7.-	Nucleotidyltransferases
212	2.7.8.-	Transferases for other substituted phosphate groups
213	2.7.9.-	Phosphotransferases with paired acceptors
214	2.7.10.-	Protein-tyrosine kinases
215	2.7.11.-	Protein-serine/threonine kinases
216	2.7.12.-	Dual-specificity kinases (those acting on Ser/Thr and Tyr residues)
217	2.7.13.-	Protein-histidine kinases
218	2.7.14.-	Protein-arginine kinases
219	2.7.99.-	Other protein kinases
220	2.8.-.-	Transferring sulfur-containing groups
221	2.8.1.-	Sulfurtransferases
222	2.8.2.-	Sulfotransferases
223	2.8.3.-	CoA-transferases
224	2.8.4.-	Transferring alkylthio groups
225	2.8.5.-	Thiosulfotransferases
226	2.9.-.-	Transferring selenium-containing groups
227	2.9.1.-	Selenotransferases
228	2.10.-.-	Transferring molybdenum- or tungsten-containing groups
229	2.10.1.-	Molybdenumtransferases or tungstentransferases with sulfide groups as acceptors
230	3.-.-.-	Hydrolases
231	3.1.-.-	Acting on ester bonds
232	3.1.1.-	Carboxylic ester hydrolases
233	3.1.2.-	Thiolester hydrolases
234	3.1.3.-	Phosphoric monoester hydrolases
235	3.1.4.-	Phosphoric diester hydrolases
236	3.1.5.-	Triphosphoric monoester hydrolases
237	3.1.6.-	Sulfuric ester hydrolases
238	3.1.7.-	Diphosphoric monoester hydrolases
239	3.1.8.-	Phosphoric triester hydrolases
240	3.1.11.-	Exodeoxyribonucleases producing 5'-phosphomonoesters
241	3.1.12.-	Exodeoxyribonucleases producing 3'-phosphomonoesters
242	3.1.13.-	Exoribonucleases producing 5'-phosphomonoesters
243	3.1.14.-	Exoribonucleases producing 3'-phosphomonoesters
244	3.1.15.-	Exonucleases active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
245	3.1.16.-	Exonucleases active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
246	3.1.21.-	Endodeoxyribonucleases producing 5'-phosphomonoesters
247	3.1.22.-	Endodeoxyribonucleases producing other than 5'-phosphomonoesters
248	3.1.23.-	Site specific endodeoxyribonucleases: cleavage is sequence specific
249	3.1.24.-	Site specific endodeoxyribonucleases: cleavage is not sequence specific
250	3.1.25.-	Site-specific endodeoxyribonucleases specific for altered bases
251	3.1.26.-	Endoribonucleases producing 5'-phosphomonoesters
252	3.1.27.-	Endoribonucleases producing other than 5'-phosphomonoesters
253	3.1.30.-	Endoribonucleases active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters
254	3.1.31.-	Endoribonucleases active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters
255	3.2.-.-	Glycosylases
256	3.2.1.-	Glycosidases, i.e. enzymes hydrolyzing O- and S-glycosyl compounds
257	3.2.2.-	Hydrolyzing N-glycosyl compounds
258	3.2.3.-	Hydrolyzing S-glycosyl compounds
259	3.3.-.-	Acting on ether bonds
260	3.3.1.-	Thioether and trialkylsulfonium hydrolases
261	3.3.2.-	Ether hydrolases
262	3.4.-.-	Acting on peptide bonds (peptidases)
263	3.4.1.-	alpha-Amino-acyl-peptide hydrolases
264	3.4.2.-	Peptidyl-amino-acid hydrolases
265	3.4.3.-	Dipeptide hydrolases
266	3.4.4.-	Peptidyl peptide hydrolases
267	3.4.11.-	Aminopeptidases
268	3.4.12.-	Peptidylamino-acid hydrolases or acylamino-acid hydrolases
269	3.4.13.-	Dipeptidases
270	3.4.14.-	Dipeptidyl-peptidases and tripeptidyl-peptidases
271	3.4.15.-	Peptidyl-dipeptidases
272	3.4.16.-	Serine-type carboxypeptidases
273	3.4.17.-	Metallocarboxypeptidases
274	3.4.18.-	Cysteine-type carboxypeptidases
275	3.4.19.-	Omega peptidases
276	3.4.21.-	Serine endopeptidases
277	3.4.22.-	Cysteine endopeptidases
278	3.4.23.-	Aspartic endopeptidases
279	3.4.24.-	Metalloendopeptidases
280	3.4.25.-	Threonine endopeptidases
281	3.4.99.-	Endopeptidases of unknown catalytic mechanism
282	3.5.-.-	Acting on carbon-nitrogen bonds, other than peptide bonds
283	3.5.1.-	In linear amides
284	3.5.2.-	In cyclic amides
285	3.5.3.-	In linear amidines
286	3.5.4.-	In cyclic amidines
287	3.5.5.-	In nitriles
288	3.5.99.-	In other compounds
289	3.6.-.-	Acting on acid anhydrides
290	3.6.1.-	In phosphorus-containing anhydrides
291	3.6.2.-	In sulfonyl-containing anhydrides
292	3.6.3.-	Acting on acid anhydrides; catalyzing transmembrane movement of substances
293	3.6.4.-	Acting on ATP; involved in cellular and subcellular movement
294	3.6.5.-	Acting on GTP; involved in cellular and subcellular movement
295	3.7.-.-	Acting on carbon-carbon bonds
296	3.7.1.-	In ketonic substances
297	3.8.-.-	Acting on halide bonds
298	3.8.1.-	In C-halide compounds
299	3.8.2.-	In P-halide compounds
300	3.9.-.-	Acting on phosphorus-nitrogen bonds
301	3.9.1.-	Acting on phosphorus-nitrogen bonds
302	3.10.-.-	Acting on sulfur-nitrogen bonds
303	3.10.1.-	Acting on sulfur-nitrogen bonds
304	3.11.-.-	Acting on carbon-phosphorus bonds
305	3.11.1.-	Acting on carbon-phosphorus bonds
306	3.12.-.-	Acting on sulfur-sulfur bonds
307	3.12.1.-	Acting on sulfur-sulfur bonds
308	3.13.-.-	Acting on carbon-sulfur bonds
309	3.13.1.-	Acting on carbon-sulfur bonds
310	3.13.2.-	Thioether and trialkylsulfonium hydrolases
311	4.-.-.-	Lyases
312	4.1.-.-	Carbon-carbon lyases
313	4.1.1.-	Carboxy-lyases
314	4.1.2.-	Aldehyde-lyases
315	4.1.3.-	Oxo-acid-lyases
316	4.1.99.-	Other carbon-carbon lyases
317	4.2.-.-	Carbon-oxygen lyases
318	4.2.1.-	Hydro-lyases
319	4.2.2.-	Acting on polysaccharides
320	4.2.3.-	Acting on phosphates
321	4.2.99.-	Other carbon-oxygen lyases
322	4.3.-.-	Carbon-nitrogen lyases
323	4.3.1.-	Ammonia-lyases
324	4.3.2.-	Lyases acting on amides, amidines, etc
325	4.3.3.-	Amine-lyases
326	4.3.99.-	Other carbon-nitrogen lyases
327	4.4.-.-	Carbon-sulfur lyases
328	4.4.1.-	Carbon-sulfur lyases
329	4.5.-.-	Carbon-halide lyases
330	4.5.1.-	Carbon-halide lyases
331	4.6.-.-	Phosphorus-oxygen lyases
332	4.6.1.-	Phosphorus-oxygen lyases
333	4.7.-.-	Carbon-phosphorus lyases
334	4.7.1.-	Carbon-phosphorus lyases
335	4.8.-.-	Nitrogen-oxygen lyases
336	4.8.1.-	Hydro-lyases
337	4.98.-.-	ATP-independent chelatases
338	4.98.1.-	Forming coordination complexes
339	4.99.-.-	Other lyases
340	4.99.1.-	Other lyases
341	5.-.-.-	Isomerases
342	5.1.-.-	Racemases and epimerases
343	5.1.1.-	Acting on amino acids and derivatives
344	5.1.2.-	Acting on hydroxy acids and derivatives
345	5.1.3.-	Acting on carbohydrates and derivatives
346	5.1.99.-	Acting on other compounds
347	5.2.-.-	Cis-trans-isomerases
348	5.2.1.-	Cis-trans isomerases
349	5.3.-.-	Intramolecular oxidoreductases
350	5.3.1.-	Interconverting aldoses and ketoses
351	5.3.2.-	Interconverting keto- and enol-groups
352	5.3.3.-	Transposing C=C bonds
353	5.3.4.-	Transposing S-S bonds
354	5.3.99.-	Other intramolecular oxidoreductases
355	5.4.-.-	Intramolecular transferases
356	5.4.1.-	Transferring acyl groups
357	5.4.2.-	Phosphotransferases (phosphomutases)
358	5.4.3.-	Transferring amino groups
359	5.4.4.-	Transferring hydroxy groups
360	5.4.99.-	Transferring other groups
361	5.5.-.-	Intramolecular lyases
362	5.5.1.-	Intramolecular lyases
363	5.6.-.-	Isomerases altering macromolecular conformation
364	5.6.1.-	Enzymes altering polypeptide conformation or assembly
365	5.6.2.-	Enzymes altering nucleic acid conformation
366	5.99.-.-	Other isomerases
367	5.99.1.-	Other isomerases
368	6.-.-.-	Ligases
369	6.1.-.-	Forming carbon-oxygen bonds
370	6.1.1.-	Ligases forming aminoacyl-tRNA and related compounds
371	6.1.2.-	Acid--alcohol ligases (ester synthases)
372	6.1.3.-	Cyclo-ligases
373	6.2.-.-	Forming carbon-sulfur bonds
374	6.2.1.-	Acid--thiol ligases
375	6.2.2.-	Amide--thiol ligases
376	6.3.-.-	Forming carbon-nitrogen bonds
377	6.3.1.-	Acid--ammonia (or amine) ligases (amide synthases)
378	6.3.2.-	Acid--amino-acid ligases (peptide synthases)
379	6.3.3.-	Cyclo-ligases
380	6.3.4.-	Other carbon--nitrogen ligases
381	6.3.5.-	Carbon--nitrogen ligases with glutamine as amido-N-donor
382	6.4.-.-	Forming carbon-carbon bonds
383	6.4.1.-	Forming carbon-carbon bonds
384	6.5.-.-	Forming phosphoric ester bonds
385	6.5.1.-	Forming phosphoric ester bonds
386	6.6.-.-	Forming nitrogen-metal bonds
387	6.6.1.-	Forming coordination complexes
388	6.7.-.-	Forming nitrogen-nitrogen bonds
389	6.7.1.-	Forming diazo bonds
390	7.-.-.-	Translocases
391	7.1.-.-	Catalysing the translocation of hydrons
392	7.1.1.-	Hydron translocation or charge separation linked to oxidoreductase reactions
393	7.1.2.-	Hydron translocation linked to the hydrolysis of a nucleoside triphosphate
394	7.1.3.-	Hydron translocation linked to the hydrolysis of diphosphate
395	7.2.-.-	Catalysing the translocation of inorganic cations
396	7.2.1.-	Linked to oxidoreductase reactions
397	7.2.2.-	Linked to the hydrolysis of a nucleoside triphosphate
398	7.2.3.-	Linked to the hydrolysis of diphosphate
399	7.2.4.-	Linked to decarboxylation
400	7.3.-.-	Catalysing the translocation of inorganic anions and their chelates
401	7.3.2.-	Linked to the hydrolysis of a nucleoside triphosphate
402	7.4.-.-	Catalysing the translocation amino acids and peptides
403	7.4.2.-	Linked to the hydrolysis of a nucleoside triphosphate
404	7.5.-.-	Catalysing the translocation carbohydrates and their derivatives
405	7.5.2.-	Linked to the hydrolysis of a nucleoside triphosphate
406	7.6.-.-	Catalysing the translocation of other compounds
407	7.6.2.-	Linked to the hydrolysis of a nucleoside triphosphate
408	1.1.1.1	alcohol dehydrogenase
409	1.1.1.2	alcohol dehydrogenase (NADP(+))
410	1.1.1.3	homoserine dehydrogenase
411	1.1.1.4	(R,R)-butanediol dehydrogenase
412	1.1.1.5	Transferred entry: 1.1.1.303 and 1.1.1.304
413	1.1.1.6	glycerol dehydrogenase
414	1.1.1.7	propanediol-phosphate dehydrogenase
415	1.1.1.8	glycerol-3-phosphate dehydrogenase (NAD(+))
416	1.1.1.9	D-xylulose reductase
417	1.1.1.10	L-xylulose reductase
418	1.1.1.11	D-arabinitol 4-dehydrogenase
419	1.1.1.12	L-arabinitol 4-dehydrogenase
420	1.1.1.13	L-arabinitol 2-dehydrogenase
421	1.1.1.14	L-iditol 2-dehydrogenase
422	1.1.1.15	D-iditol 2-dehydrogenase
423	1.1.1.16	galactitol 2-dehydrogenase
424	1.1.1.17	mannitol-1-phosphate 5-dehydrogenase
425	1.1.1.18	inositol 2-dehydrogenase
426	1.1.1.19	glucuronate reductase
427	1.1.1.20	glucuronolactone reductase
428	1.1.1.21	aldose reductase
429	1.1.1.22	UDP-glucose 6-dehydrogenase
430	1.1.1.23	histidinol dehydrogenase
431	1.1.1.24	quinate/shikimate dehydrogenase (NAD(+))
432	1.1.1.25	shikimate dehydrogenase (NADP(+))
433	1.1.1.26	glyoxylate reductase
434	1.1.1.27	L-lactate dehydrogenase
435	1.1.1.28	D-lactate dehydrogenase
436	1.1.1.29	glycerate dehydrogenase
437	1.1.1.30	3-hydroxybutyrate dehydrogenase
438	1.1.1.31	3-hydroxyisobutyrate dehydrogenase
439	1.1.1.32	Transferred entry: 1.1.1.1
440	1.1.1.33	Transferred entry: 1.1.1.2
441	1.1.1.34	hydroxymethylglutaryl-CoA reductase (NADPH)
442	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
443	1.1.1.36	acetoacetyl-CoA reductase
444	1.1.1.37	malate dehydrogenase
445	1.1.1.38	malate dehydrogenase (oxaloacetate-decarboxylating)
446	1.1.1.39	malate dehydrogenase (decarboxylating)
447	1.1.1.40	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
448	1.1.1.41	isocitrate dehydrogenase (NAD(+))
449	1.1.1.42	isocitrate dehydrogenase (NADP(+))
450	1.1.1.43	phosphogluconate 2-dehydrogenase
451	1.1.1.44	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
452	1.1.1.45	L-gulonate 3-dehydrogenase
453	1.1.1.46	L-arabinose 1-dehydrogenase
454	1.1.1.47	glucose 1-dehydrogenase [NAD(P)(+)]
455	1.1.1.48	D-galactose 1-dehydrogenase
456	1.1.1.49	glucose-6-phosphate dehydrogenase (NADP(+))
457	1.1.1.50	3alpha-hydroxysteroid 3-dehydrogenase (Si-specific)
458	1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
459	1.1.1.52	3alpha-hydroxycholanate dehydrogenase (NAD(+))
460	1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
461	1.1.1.54	allyl-alcohol dehydrogenase
462	1.1.1.55	lactaldehyde reductase (NADPH)
463	1.1.1.56	ribitol 2-dehydrogenase
464	1.1.1.57	fructuronate reductase
465	1.1.1.58	tagaturonate reductase
466	1.1.1.59	3-hydroxypropionate dehydrogenase
467	1.1.1.60	2-hydroxy-3-oxopropionate reductase
468	1.1.1.61	4-hydroxybutyrate dehydrogenase
469	1.1.1.62	17beta-estradiol 17-dehydrogenase
470	1.1.1.63	Transferred entry: 1.1.1.239
471	1.1.1.64	testosterone 17beta-dehydrogenase (NADP(+))
472	1.1.1.65	pyridoxine 4-dehydrogenase
473	1.1.1.66	omega-hydroxydecanoate dehydrogenase
474	1.1.1.67	mannitol 2-dehydrogenase
475	1.1.1.68	Transferred entry: 1.5.1.20
476	1.1.1.69	gluconate 5-dehydrogenase
477	1.1.1.70	Transferred entry: 1.2.1.3
478	1.1.1.71	alcohol dehydrogenase [NAD(P)(+)]
479	1.1.1.72	glycerol dehydrogenase (NADP(+))
480	1.1.1.73	octanol dehydrogenase
481	1.1.1.74	Deleted entry
482	1.1.1.75	(R)-aminopropanol dehydrogenase
483	1.1.1.76	(S,S)-butanediol dehydrogenase
484	1.1.1.77	lactaldehyde reductase
485	1.1.1.78	methylglyoxal reductase (NADH)
486	1.1.1.79	glyoxylate reductase (NADP(+))
487	1.1.1.80	isopropanol dehydrogenase (NADP(+))
488	1.1.1.81	hydroxypyruvate reductase
489	1.1.1.82	malate dehydrogenase (NADP(+))
490	1.1.1.83	D-malate dehydrogenase (decarboxylating)
491	1.1.1.84	dimethylmalate dehydrogenase
492	1.1.1.85	3-isopropylmalate dehydrogenase
493	1.1.1.86	ketol-acid reductoisomerase (NADP(+))
494	1.1.1.87	homoisocitrate dehydrogenase
495	1.1.1.88	hydroxymethylglutaryl-CoA reductase
496	1.1.1.89	Transferred entry: 1.1.1.86
497	1.1.1.90	aryl-alcohol dehydrogenase
498	1.1.1.91	aryl-alcohol dehydrogenase (NADP(+))
499	1.1.1.92	oxaloglycolate reductase (decarboxylating)
500	1.1.1.93	tartrate dehydrogenase
501	1.1.1.94	glycerol-3-phosphate dehydrogenase [NAD(P)(+)]
502	1.1.1.95	phosphoglycerate dehydrogenase
503	1.1.1.96	diiodophenylpyruvate reductase
504	1.1.1.97	3-hydroxybenzyl-alcohol dehydrogenase
505	1.1.1.98	(R)-2-hydroxy-fatty-acid dehydrogenase
506	1.1.1.99	(S)-2-hydroxy-fatty-acid dehydrogenase
507	1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
508	1.1.1.101	acylglycerone-phosphate reductase
509	1.1.1.102	3-dehydrosphinganine reductase
510	1.1.1.103	L-threonine 3-dehydrogenase
511	1.1.1.104	4-oxoproline reductase
512	1.1.1.105	all-trans-retinol dehydrogenase (NAD(+))
513	1.1.1.106	pantoate 4-dehydrogenase
514	1.1.1.107	pyridoxal 4-dehydrogenase
515	1.1.1.108	carnitine 3-dehydrogenase
516	1.1.1.109	Transferred entry: 1.3.1.28
517	1.1.1.110	aromatic 2-oxoacid reductase
518	1.1.1.111	3-(imidazol-5-yl)lactate dehydrogenase
519	1.1.1.112	indanol dehydrogenase
520	1.1.1.113	L-xylose 1-dehydrogenase
521	1.1.1.114	apiose 1-reductase
522	1.1.1.115	ribose 1-dehydrogenase (NADP(+))
523	1.1.1.116	D-arabinose 1-dehydrogenase (NAD(+))
524	1.1.1.117	D-arabinose 1-dehydrogenase [NAD(P)(+)]
525	1.1.1.118	glucose 1-dehydrogenase (NAD(+))
526	1.1.1.119	glucose 1-dehydrogenase (NADP(+))
527	1.1.1.120	galactose 1-dehydrogenase (NADP(+))
528	1.1.1.121	aldose 1-dehydrogenase (NAD(+))
529	1.1.1.122	D-threo-aldose 1-dehydrogenase
530	1.1.1.123	sorbose 5-dehydrogenase (NADP(+))
531	1.1.1.124	fructose 5-dehydrogenase (NADP(+))
532	1.1.1.125	2-deoxy-D-gluconate 3-dehydrogenase
533	1.1.1.126	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase
534	1.1.1.127	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
535	1.1.1.128	Deleted entry
536	1.1.1.129	L-threonate 3-dehydrogenase
537	1.1.1.130	3-dehydro-L-gulonate 2-dehydrogenase
538	1.1.1.131	mannuronate reductase
539	1.1.1.132	GDP-mannose 6-dehydrogenase
540	1.1.1.133	dTDP-4-dehydrorhamnose reductase
